Region,Country,Priority,Status,Active Hubs,Pipeline,Target Hubs,Gap,Notes
Nordics,Denmark,1,Pipeline,0,1,2,1,"EasyRecycle ApS identified - PRIORITY PROSPECT. 52 employees, ISO certified. Frederikshavn."
Nordics,Sweden,2,Pipeline,0,2,2,0,"Remade in Sweden (18 emp) + ReuseIT Sweden (34 emp) in pipeline. Good coverage developing."
Nordics,Norway,3,Pipeline,0,1,1,0,"Revac AS in pipeline. Certus customer - warm relationship."
Nordics,Finland,4,Pipeline,0,1,1,0,"EcoIT identified as prospect. Need to verify size and certifications. 3stepIT + Kuusakoski disqualified."
Nordics,Iceland,5,Skip,0,0,0,0,"No viable ITADs - market too small (~380k population)."
Nordics,Faroe Islands,5,Skip,0,0,0,0,"No viable ITADs - market too small (~50k population)."
DACH,Germany,5,Pipeline,0,1,3,2,"K&P Computer (260 emp, Wiesbaden) identified. Borderline size but strong certs. Need more smaller prospects."
DACH,Austria,7,Gap,0,0,1,1,"Need research."
DACH,Switzerland,8,Gap,0,0,1,1,"Need research."
Western Europe,UK,6,Gap,0,0,3,3,"Large market. Many ADISA-certified companies."
Western Europe,Netherlands,7,Pipeline,0,1,2,1,"Renewtech (76 emp, Amsterdam) identified. ISO 9001. Also serves German market via renewtech.de. Need to research Huiskes-Metaal."
Western Europe,Belgium,8,Gap,0,0,1,1,"Need research."
Western Europe,France,9,Gap,0,0,2,2,"Need research."
Western Europe,Ireland,10,Gap,0,0,1,1,"Need research."
Southern Europe,Spain,11,Gap,0,0,2,2,"Need research."
Southern Europe,Italy,12,Gap,0,0,2,2,"Need research."
Southern Europe,Portugal,13,Gap,0,0,1,1,"Need research."
